Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2025-09-26,Strasbourg,Marseille,2,4,5,4,J Pignard
2025-09-28,Rennes,Lens,3,4,8,4,B Dechepy
2025-09-27,Toulouse,Nantes,2,3,1,4,B Bastien
2025-10-29,Le Havre,Brest,1,3,5,1,B Millot
2025-10-29,Lorient,Paris SG,0,2,0,8,W Delajod
2025-10-29,Metz,Lens,4,2,2,5,A Kherradji
2025-10-29,Nantes,Monaco,3,7,1,3,J Brisard
2025-10-29,Nice,Lille,3,3,2,13,B Dechepy
2025-10-29,Marseille,Angers,2,1,1,5,T Léonard
2025-10-29,Paris FC,Lyon,7,3,4,2,J Stinat
2025-10-29,Strasbourg,Auxerre,1,1,4,3,R Buquet
2025-10-29,Toulouse,Rennes,2,3,5,8,C Turpin
2025-11-09,Angers,Auxerre,2,2,3,3,A Kherradji
2025-11-08,Monaco,Lens,2,2,5,4,B Dechepy
2025-11-08,Le Havre,Nantes,3,3,8,3,R Lissorgue
2025-11-09,Lorient,Toulouse,0,4,6,4,H Ben El Hadj
2025-11-09,Metz,Nice,2,4,6,3,S Frappart
2025-11-08,Marseille,Brest,0,1,6,2,W Delajod
2025-11-09,Lyon,Paris SG,7,2,5,5,B Bastien
2025-11-07,Paris FC,Rennes,4,2,8,9,G Paradis
2025-11-09,Strasbourg,Lille,4,4,1,4,F Letexier
2025-11-23,Auxerre,Lyon,1,3,7,11,T Léonard
2025-11-23,Lille,Paris FC,1,2,9,4,B Millot
2025-11-23,Nantes,Lorient,1,1,1,1,R Buquet
2025-11-21,Nice,Marseille,2,2,8,6,J Pignard
2025-11-22,Paris SG,Le Havre,2,1,6,4,M Vernice
2025-11-22,Lens,Strasbourg,3,4,3,1,J Brisard
2025-11-23,Brest,Metz,2,3,6,2,G Angoula
2025-11-22,Rennes,Monaco,0,2,4,6,H Ben El Hadj
2025-11-23,Toulouse,Angers,1,3,11,1,M Bollengier
2025-11-30,Angers,Lens,1,1,2,8,G Paradis
2025-11-29,Monaco,Paris SG,4,1,4,4,C Turpin
2025-11-30,Le Havre,Lille,1,4,6,2,W Delajod
2025-11-30,Lorient,Nice,1,2,3,7,R Lissorgue
2025-11-28,Metz,Rennes,0,0,6,3,J Stinat
2025-11-29,Marseille,Toulouse,2,1,9,1,E Wattellier
2025-11-30,Lyon,Nantes,1,3,7,0,A Kherradji
